ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,50_50,bad_behaviour_card,ball_recovery_offensive,block_offensive,goalkeeper_shot_saved_off_target,shot_open_goal,shot_saved_off_target,goalkeeper_shot_saved_to_post,injury_stoppage_in_chain,pass_goal_assist,pass_straight,pass_no_touch,clearance_other,pass_miscommunication,shot_saved_to_post,block_deflection,dribble_no_touch,shot_redirect,block_save_block,shot_deflected,player_off_permanent,goalkeeper_success_in_play,shot_follows_dribble,goalkeeper_lost_out,half_start_late_video_start,goalkeeper_lost_in_play,goalkeeper_penalty_saved_to_post,goalkeeper_saved_to_post
,,,,,,,,,,,,,,0.78095,,,,,,,,,,,,,,,,d0602ff7-b550-4689-b6a9-f8e76f663d0f,713,,"[52.7, 66.9]",3754058,16,,,,,-0.90569365,,Left Foot,,,,"[56.7, 61.8]",Ground Pass,,6.481512,Incomplete,,N''Golo Kanté,3961.0,,,,,Recovery,1,Regular Play,Riyad Mahrez,3814.0,Right Midfield,29,AFC Bournemouth,28,"['2ddbc29e-da14-4cc0-b542-fd5ea43cdf98', 'df8f7537-766e-4f43-ad2e-da73153da7d0']",36,,,,,,,,,,,,,,,,,Leicester City,22,00:16:36.892,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.690809,,,,,,,,,,,,,,,,9326f395-e4be-44c3-86c5-fa40e8455852,720,,"[45.6, 53.2]",3754058,16,,,,,0.8329813,,Right Foot,,,,"[51.6, 59.8]",Ground Pass,,8.9196415,,,Riyad Mahrez,3814.0,,,,,,1,Regular Play,Danny Drinkwater,3662.0,Right Center Midfield,29,AFC Bournemouth,28,['3174b2bf-1e20-4403-bf20-213a469bb634'],41,,,,,,,,,,,,,,,,,Leicester City,22,00:16:41.111,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.451574,,,,,,,,,,,,,,,,ddf19774-40e8-4e01-952d-0ed8fc5dcfa2,723,,"[51.6, 59.8]",3754058,16,,,,,-2.4813645,,Left Foot,,,,"[43.1, 53.2]",Ground Pass,,10.761505,Incomplete,,Danny Drinkwater,3662.0,,,,,,1,Regular Play,Riyad Mahrez,3814.0,Right Midfield,29,AFC Bournemouth,28,"['1c70c0be-8211-470d-af8f-d79ffa8ce66e', '3ba2d4e4-4bc2-41b6-b2bf-e6faab33b6c2']",41,,,,,,,,,,,,,,,,,Leicester City,22,00:16:41.933,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.850813,,,,,,,,,,,,,,,,3ba2d4e4-4bc2-41b6-b2bf-e6faab33b6c2,725,,"[77.0, 26.9]",3754058,16,,,,,-1.771082,,Right Foot,,,,"[74.3, 13.6]",Ground Pass,,13.571293,,,Junior Stanislas,3463.0,,,,,Recovery,1,Regular Play,Joshua King,3346.0,Center Forward,29,AFC Bournemouth,28,"['337bcc02-1647-4aef-b1db-b92190483816', 'ddf19774-40e8-4e01-952d-0ed8fc5dcfa2']",43,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:16:43.385,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.776076,,,,,,,,,,,,,,,,0e42b2e4-4d5c-4dcb-8d6f-851dc30723a6,729,,"[81.1, 7.4]",3754058,16,,,,,0.6455758,,Right Foot,,,,"[88.8, 13.2]",Ground Pass,,9.64002,Incomplete,,Charlie Daniels,3345.0,,,,,,1,Regular Play,Junior Stanislas,3463.0,Left Midfield,29,AFC Bournemouth,28,"['8974ca39-f0ca-4b00-9ad3-b96d1ab2a122', 'e6617eb8-f3a5-45ef-99aa-019d057377cf']",47,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:16:47.007,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.060038,,,,,,,,,,,,,,,,713a6f36-bfa5-473d-9c0d-722af90cdbca,732,,"[55.2, 53.8]",3754058,16,,,,,2.3036115,,Head,,,,"[48.0, 61.8]",High Pass,,10.762899,,,N''Golo Kanté,3961.0,,,,,Recovery,1,Regular Play,Jamie Vardy,10960.0,Left Center Forward,30,Leicester City,22,['4f0fdb4b-53fb-476d-a062-9f4b669ae4d2'],49,,,,,,,,,,,,,,,,,Leicester City,22,00:16:49.919,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.075976,,,,,,,,,,,,,,,,d96e6bd3-e0fa-43b7-81e2-183375fc7e99,735,,"[49.9, 63.9]",3754058,16,,,,,1.014197,,Right Foot,,,,"[55.5, 72.9]",Ground Pass,,10.6,,,Riyad Mahrez,3814.0,,,,,,1,Regular Play,N''Golo Kanté,3961.0,Left Defensive Midfield,30,Leicester City,22,['666268cf-5db6-4ab3-981f-4812b2427918'],52,,,,,,,,,,,,,,,,,Leicester City,22,00:16:52.335,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.204999,,,,,,,,,,,,,,,,143efb75-1894-463b-908d-68e2e85e1594,738,,"[57.6, 72.0]",3754058,16,,,,,-0.26747206,,Left Foot,,,,"[120.0, 54.9]",High Pass,,64.700615,Out,,Jamie Vardy,10960.0,,,,,,1,Regular Play,Riyad Mahrez,3814.0,Right Midfield,30,Leicester City,22,['9509e2b7-d317-4e19-b2d9-863053e1cbeb'],55,,,,,,,,,,,,,,,,,Leicester City,22,00:16:55.298,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,,,,,36c8bd6a-e7fe-41d9-b452-2730a006b3fd,740,,"[7.0, 36.1]",3754058,17,,True,,,-0.877445,,Right Foot,,,,"[12.9, 29.0]",Ground Pass,,9.231468,,,Steve Cook,3341.0,,,,,Goal Kick,1,From Goal Kick,Artur Boruc,20074.0,Goalkeeper,31,AFC Bournemouth,28,['2fec6969-1c6b-40c6-a26e-56b52e83c5cb'],8,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:17:08.796,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1.599999,,,,,,,,,,,,,,,,911813c2-af09-436f-89a2-acf442232391,742,,"[14.2, 27.3]",3754058,17,,True,,,-1.0605874,,Right Foot,,,,"[26.4, 5.5]",Ground Pass,,24.981594,,,Charlie Daniels,3345.0,,,,,,1,From Goal Kick,Steve Cook,3341.0,Left Center Back,31,AFC Bournemouth,28,['16ec784c-03a8-47b2-a5b6-82bccb43cc0e'],13,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:17:13.185,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.979761,,,,,,,,,,,,,,,,219860ab-fd25-4dd0-842b-79639976b9c8,744,,"[29.1, 5.3]",3754058,17,,True,,,1.3932002,,Left Foot,,,,"[31.9, 20.9]",Ground Pass,,15.84929,,,Andrew Surman,3344.0,,,,,,1,From Goal Kick,Charlie Daniels,3345.0,Left Back,31,AFC Bournemouth,28,['587b7f9f-5037-4e35-b836-45f0cb2036cb'],19,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:17:19.938,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.938786,,,,,,,,,,,,,,,,734e375b-f982-437e-aa02-9155a14c896d,746,,"[31.9, 20.9]",3754058,17,,,,,-0.48575702,,Left Foot,,,,"[48.0, 12.4]",Low Pass,,18.206043,,,Junior Stanislas,3463.0,,,,,,1,From Goal Kick,Andrew Surman,3344.0,Center Defensive Midfield,31,AFC Bournemouth,28,['92ab5051-efeb-4f63-9604-ce49fd741f5e'],20,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:17:20.918,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
